 AIRCRAFT GAMEPLAY MODEL FILE   AIRCRAFT HANGAR MODEL FILE               AIRCRAFT ID                     COLOR
           0629.DAT                      0851.DAT                     Rafale M -ESPADA-                 Special
           0632.DAT                      0854.DAT                  Su-37 Terminator -GELB-              Special
           0633.DAT                      0855.DAT                    Su-47 Berkut -GAULT-               Special
           0636.DAT                      0858.DAT                 MiG-31 Foxhound -SCHWARZE-            Special
           0641.DAT                      0863.DAT                   ADFX-01 Morgan -PIXY-               Special
           0609.DAT                      0867.DAT                       Tornado GR. 4                   Special
           0611.DAT                      0869.DAT                        F-15C Eagle                    Special
           0612.DAT                      0870.DAT                     F-15 Strike Eagle                 Special
           0615.DAT                      0873.DAT                           EA-18G                      Special
           0618.DAT                      0876.DAT                      F-117A Nighthawk                 Special
           0619.DAT                      0877.DAT                       F/A-22A Raptor                  Special
           0620.DAT                      0878.DAT                           F-35C                       Special
           0621.DAT                      0879.DAT                       F-5E Tiger II                   Special
           0622.DAT                      0880.DAT                      F-20A Tigershark                 Special
           0623.DAT                      0881.DAT                           X-29A                       Special
           0626.DAT                      0884.DAT                       EA-6B Prowler                   Special
           0627.DAT                      0885.DAT                    A-10A Thunderbolt II               Special
           0628.DAT                      0886.DAT                        Mirage 2000D                   Special
           0630.DAT                      0888.DAT                       Su-27 Flanker                   Special
           0631.DAT                      0889.DAT                    Su-32 Super Flanker                Special
           0634.DAT                      0892.DAT                     MiG-21bis Fishbed                 Special
           0635.DAT                      0893.DAT                      MiG-29A Fulcrum                  Special
           0637.DAT                      0895.DAT                            F-1                        Special
           0638.DAT                      0896.DAT                            F-2A                       Special
           0639.DAT                      0897.DAT                        X-02 Wyvern                    Special
           0640.DAT                      0898.DAT                       ADF-01 Falken                   Special

           0642.DAT                      0900.DAT                        J35J Draken                    Knight
           0643.DAT                      0901.DAT                          Gripen C                     Knight
           0644.DAT                      0902.DAT                          Typhoon                      Knight
           0645.DAT                      0903.DAT                       Tornado GR. 4                   Knight
           0646.DAT                      0904.DAT                      F-4E II Phantom                  Knight
           0647.DAT                      0905.DAT                        F-15C Eagle                    Knight
           0648.DAT                      0906.DAT                     F-15 Strike Eagle                 Knight
           0649.DAT                      0907.DAT                         F-15 S/MTD                    Knight
           0650.DAT                      0908.DAT                       F/A-18C Hornet                  Knight
           0651.DAT                      0909.DAT                           EA-18G                      Knight
           0652.DAT                      0910.DAT                   F-16C Fighting Falcon               Knight
           0653.DAT                      0911.DAT                          F-16 XL                      Knight
           0654.DAT                      0912.DAT                      F-117A Nighthawk                 Knight
           0655.DAT                      0913.DAT                       F/A-22A Raptor                  Knight
           0656.DAT                      0914.DAT                           F-35C                       Knight
           0657.DAT                      0915.DAT                       F-5E Tiger II                   Knight
           0658.DAT                      0916.DAT                      F-20A Tigershark                 Knight
           0659.DAT                      0917.DAT                           X-29A                       Knight
           0660.DAT                      0918.DAT                     F-14D Super Tomcat                Knight
           0661.DAT                      0919.DAT                   YF-23A Black Widow II               Knight
           0662.DAT                      0920.DAT                       EA-6B Prowler                   Knight
           0663.DAT                      0921.DAT                    A-10A Thunderbolt II               Knight
           0664.DAT                      0922.DAT                        Mirage 2000D                   Knight
           0665.DAT                      0923.DAT                          Rafale M                     Knight
           0666.DAT                      0924.DAT                       Su-27 Flanker                   Knight
           0667.DAT                      0925.DAT                    Su-32 Super Flanker                Knight
           0668.DAT                      0926.DAT                      Su-37 Terminator                 Knight
           0669.DAT                      0927.DAT                        Su-47 Berkut                   Knight
           0670.DAT                      0928.DAT                     MiG-21bis Fishbed                 Knight
           0671.DAT                      0929.DAT                      MiG-29A Fulcrum                  Knight
           0672.DAT                      0930.DAT                      MiG-31 Foxhound                  Knight
           0673.DAT                      0931.DAT                            F-1                        Knight
           0674.DAT                      0932.DAT                            F-2A                       Knight
           0675.DAT                      0933.DAT                        X-02 Wyvern                    Knight
           0676.DAT                      0934.DAT                       ADF-01 Falken                   Knight
           0677.DAT                      0935.DAT                       ADFX-01 Morgan                  Knight

           0683.DAT                         ---                          F15C -PIXY-                    Special
           0688.DAT                         ---                   F-16C Fighting Falcon -PJ-            Special
